Pay_in_INR,Gender,Score in Tenth,Score in Twelth,CollegeTier,GPA Score in Graduation,Score in English language,Score in Logical skill,Score in Quantitative ability,Score in Domain,Score in ComputerProgramming
400000,m,67.6,70.2,2,60.93,525,495,555,0.694479328,-100
145000,f,71,64,2,81,615,455,355,0.486747008,335
200000,f,75,66.8,2,68.5,370,470,260,0.3217565,385
300000,f,85,69,2,75,605,440,445,0.3423149,365
530000,m,88.64,65.16,2,74.81,435,485,465,0.864685413,525
70000,m,67.75,61.5,2,76.1,450,355,295,0.670743151,455
320000,m,54.5,61.6,2,70,405,395,605,0.600057182,435
180000,m,69,81.4,2,69.68,425,515,565,0.622642916,525
500000,f,94,88,1,71.4,755,545,585,0.81941653,505
295000,m,75.2,84.6,2,68.8,415,545,545,0.654107475,-100
320000,m,72.6,71.4,2,67,685,595,690,0.842248322,575
300000,m,81,67.7,2,67.7,510,480,705,0.916869961,555
205000,f,66,68,2,71,500,555,605,0.911395278,465
200000,m,71.17,72.4,2,69.68,505,445,435,0.864685413,525
300000,f,79.5,76,2,76,475,570,595,0.356536488,505
230000,f,76,58,2,74,405,510,330,0.356536488,435
260000,m,58,65,2,69.8,445,385,405,0.704090412,465
435000,m,85,64,2,65,465,505,515,0.53586282,-100
200000,f,90.01,82.83,2,76,465,370,450,0.842248322,445
405000,m,81,88.7,2,69.03,415,445,554,0.450876585,395
460000,m,77.6,82.6,2,77,565,525,655,0.714529363,-100
370000,m,91.52,81,2,76.7,465,545,485,0.377551419,375
205000,m,76,68.2,2,70,615,485,525,-1,445
155000,m,71,66,2,74.5,325,375,315,0.2766565,325
390000,m,77,62,2,63.5,495,505,515,0.563267824,425
305000,f,78.8,70,2,77.6,545,505,485,0.3107565,405
540000,m,86,75,2,79,445,355,385,0.525922584,415
180000,f,82.2,76,2,76.62,450,450,365,0.356536488,395
180000,m,79,56,2,60,415,485,500,0.840840969,-100
405000,m,87,67,2,67,435,335,435,0.654107475,-100
300000,m,86.4,79.8,2,72.5,675,495,445,0.799848205,-100
300000,m,92.3,83.6,2,80.16,615,560,635,0.557389506,345
220000,m,75.77,70.8,2,70.5,440,495,500,0.942116552,575
120000,m,73.8,60.2,2,69.74,520,570,485,0.486747008,425
300000,f,88,88,2,70.12,710,605,605,0.744758354,405
145000,m,87.07,71.5,2,76,440,365,235,0.622642916,365
100000,f,85,73,2,77,355,405,305,0.3690565,315
105000,m,84.93,81.5,2,65.18,640,520,465,-1,-100
305000,m,83,73,2,61.85,545,580,500,0.911395278,435
120000,f,67,61,2,75,370,410,320,0.488347977,405
65000,f,78,72,2,74.6,545,570,455,0.600057182,435
325000,m,78.1,72.6,2,74.8,450,425,485,0.694479328,-100
315000,m,94.2,89.8,2,80.6,475,525,665,0.938399137,345
300000,f,87.52,71.5,2,61.28,535,540,345,0.756180114,295
200000,f,87,96.5,2,78.56,490,580,535,0.493596387,-100
300000,m,77.8,74,2,67.3,554,595,544,0.901489571,545
500000,m,75.38,72,2,68.75,325,495,565,0.376059587,-100
305000,f,78,66.6,2,63,585,315,455,0.519863918,-100
145000,m,83,76,2,77,385,425,435,0.81941653,505
120000,f,70.61,72.66,2,75.16,525,460,605,0.744758354,-100
180000,m,65.8,76.8,2,77.5,430,495,470,0.938399137,-100
100000,m,58,52,2,61,455,385,345,0.413838256,385
300000,f,82,79,2,74,475,375,545,0.356536488,415
420000,f,85,95,2,77.5,575,635,565,0.843123727,515
210000,m,89.76,84.17,2,68.01,555,525,425,0.765673581,485
200000,m,76.53,85,2,66.8,335,385,325,0.3085565,-100
240000,m,48,51.4,1,77,395,410,430,0.875503907,-100
430000,m,83,82,2,71,425,465,470,-1,-100
275000,m,83.6,81,1,70,665,495,440,0.356536488,385
300000,m,79.85,72,2,61,630,460,415,0.622642916,475
325000,m,92,88.8,2,73,640,645,690,0.356536488,535
370000,m,81.6,72.2,2,65,665,525,595,0.755375121,345
